"ID","age","value"
"1.1.1","Number of Distinct Operators","1"
"1.1.1","Number of Distinct Operands","0"
"1.1.1","Number of Operator Occurrences","1"
"1.1.1","Number of Operand Occurrences","0"
"1.1.1","Component Length","1"
"1.1.1","Vocabulary Size","1"
"1.1.1","Number of Statements","1"
"1.1.1","Number of Structuring Levels","1"
"1.1.1","Number of Unconditional Jumps","0"
"1.1.1","Number of Go to Statements","0"
"1.1.1","Number of Decision Statements","0"
"1.1.1","Average Statement Size","1"
"1.1.1","Number of Function Parameters","2"
"1.1.1","Number of Calling Functions","0"
"1.1.1","Number of Called Functions","0"
"1.1.1","Cyclomatic Complexity","1"
"1.1.1","Number of Entry Points","1"
"1.1.2","Number of Distinct Operators","1"
"1.1.2","Number of Distinct Operands","0"
"1.1.2","Number of Operator Occurrences","1"
"1.1.2","Number of Operand Occurrences","0"
"1.1.2","Component Length","1"
"1.1.2","Vocabulary Size","1"
"1.1.2","Number of Statements","1"
"1.1.2","Number of Structuring Levels","1"
"1.1.2","Number of Unconditional Jumps","0"
"1.1.2","Number of Go to Statements","0"
"1.1.2","Number of Decision Statements","0"
"1.1.2","Average Statement Size","1"
"1.1.2","Number of Function Parameters","1"
"1.1.2","Number of Calling Functions","0"
"1.1.2","Number of Called Functions","0"
"1.1.2","Cyclomatic Complexity","1"
"1.1.2","Number of Entry Points","1"
"1.2.1","Number of Distinct Operators","13"
"1.2.1","Number of Distinct Operands","10"
"1.2.1","Number of Operator Occurrences","40"
"1.2.1","Number of Operand Occurrences","25"
"1.2.1","Component Length","65"
"1.2.1","Vocabulary Size","23"
"1.2.1","Number of Statements","14"
"1.2.1","Number of Structuring Levels","1"
"1.2.1","Number of Unconditional Jumps","0"
"1.2.1","Number of Go to Statements","0"
"1.2.1","Number of Decision Statements","0"
"1.2.1","Average Statement Size","4.64"
"1.2.1","Number of Function Parameters","0"
"1.2.1","Number of Calling Functions","0"
"1.2.1","Number of Called Functions","0"
"1.2.1","Cyclomatic Complexity","1"
"1.2.1","Number of Entry Points","1"
"1.3.1","Number of Distinct Operators","4"
"1.3.1","Number of Distinct Operands","1"
"1.3.1","Number of Operator Occurrences","2"
"1.3.1","Number of Operand Occurrences","1"
"1.3.1","Component Length","3"
"1.3.1","Vocabulary Size","5"
"1.3.1","Number of Statements","2"
"1.3.1","Number of Structuring Levels","1"
"1.3.1","Number of Unconditional Jumps","0"
"1.3.1","Number of Go to Statements","0"
"1.3.1","Number of Decision Statements","0"
"1.3.1","Average Statement Size","1.5"
"1.3.1","Number of Function Parameters","1"
"1.3.1","Number of Calling Functions","0"
"1.3.1","Number of Called Functions","0"
"1.3.1","Cyclomatic Complexity","1"
"1.3.1","Number of Entry Points","1"
"1.4.1","Number of Distinct Operators","4"
"1.4.1","Number of Distinct Operands","7"
"1.4.1","Number of Operator Occurrences","12"
"1.4.1","Number of Operand Occurrences","9"
"1.4.1","Component Length","21"
"1.4.1","Vocabulary Size","11"
"1.4.1","Number of Statements","5"
"1.4.1","Number of Structuring Levels","1"
"1.4.1","Number of Unconditional Jumps","0"
"1.4.1","Number of Go to Statements","0"
"1.4.1","Number of Decision Statements","0"
"1.4.1","Average Statement Size","4.19"
